ProductKey,OrderDatumKey,RequiredDatumKey,ShippedDatumKey,CustomerKey,ShipperKey,AddressKey,EmployeeKey,OrderID,UnitPrice,Quantity,Discount,LineTotal,Freight
1,19960820,19960917,19960826,63,2,63,1,10285,14.4,45,129.60001,518.4,76.83
1,19960830,19960927,19960905,65,2,65,4,10294,14.4,18,0,259.2,147.26
1,19960930,19961028,19961010,48,1,49,6,10317,14.4,20,0,288,12.69
1,19961107,19961205,19961115,86,2,18,4,10348,14.4,15,32.400002,183.6,0.78
1,19961114,19961212,19961120,58,3,58,8,10354,14.4,12,0,172.8,53.8
1,19961203,19961231,19961227,14,2,15,6,10370,14.4,15,32.400002,183.6,1.17
1,19970107,19970218,19970113,62,1,62,7,10406,14.4,10,0,144,108.04
1,19970114,19970211,19970116,41,2,42,3,10413,14.4,24,0,345.6,95.66
1,19970317,19970414,19970325,60,2,60,5,10477,14.4,15,0,216,13.02
1,19970430,19970528,19970506,44,1,45,4,10522,18,40,144,576,45.33
1,19970505,19970602,19970515,87,2,86,4,10526,18,8,21.6,122.4,58.59
1,19970623,19970707,19970630,80,3,80,3,10576,18,10,0,180,18.56
1,19970707,19970804,19970714,51,3,52,4,10590,18,20,0,360,44.77
1,19970724,19970821,19970730,18,2,20,7,10609,18,3,0,54,1.85
1,19970725,19970822,19970801,91,2,90,6,10611,18,6,0,108,80.65
1,19970812,19970909,19970820,7,3,8,4,10628,18,25,0,450,30.36
1,19970827,19971008,19970903,37,3,38,9,10646,18,15,67.5,202.5,142.33
1,19971001,19971029,19971007,5,2,6,1,10689,18,35,157.5,472.5,13.42
1,19971003,19971114,19971022,63,2,63,2,10691,18,30,0,540,810.05
1,19971010,19971107,19971016,71,1,71,3,10700,18,5,18,72,65.1
1,19971104,19971216,19971114,47,3,48,8,10729,18,50,0,900,141.06
1,19971124,19971222,19971128,53,3,54,2,10752,18,8,0,144,1.39
1,19980119,19980216,19980123,47,3,48,3,10838,18,4,18,54,59.28
1,19980122,19980205,19980210,71,3,71,4,10847,18,80,288,1152,487.57
1,19980202,19980302,19980217,35,2,36,4,10863,18,20,54,306,30.26
1,19980204,19980304,19980209,72,1,72,5,10869,18,40,0,720,143.28
1,19980224,19980324,19980306,88,2,87,9,10905,18,20,18,342,13.72
